TIME SLOT: extraction/30min Pattern, Confidence-Frequence
Total number of input patterns: 29371
[[[['Normal_T0_0,Normal_T0_2'], ['QuasiPiena_T1_0,QuasiPiena_T1_2'], ['Normal_T2_2']]], ['0.8031358885017421 - 461']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_1,Normal_T1_1'], ['Normal_T2_1']]], ['0.8025316455696202 - 317']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_1,Normal_T1_1'], ['Normal_T2_1']]], ['0.8020833333333334 - 77']]
[[[['QuasiPiena_T0_0,Normal_T0_2'], ['Normal_T1_0,QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.8016997167138811 - 566']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_1'], ['Normal_T1_0'], ['Normal_T2_0']]], ['0.8015564202334631 - 412']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,Normal_T1_1'], ['Normal_T2_1']]], ['0.8005502063273727 - 582']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_2,QuasiPiena_T0_2'], ['Normal_T1_2']]], ['0.8 - 944']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,Normal_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.8 - 792']]
[[[['Normal_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0,QuasiPiena_T1_3'], ['Normal_T2_0']]], ['0.8 - 300']]
[[[['QuasiPiena_T0_0,Normal_T0_1,Normal_T0_1,QuasiPiena_T0_1'], ['Normal_T1_1']]], ['0.8 - 100']]
[[[['Normal_T0_0'], ['Normal_T1_0,QuasiPiena_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.7994987468671679 - 319']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_1'], ['Normal_T2_1']]], ['0.7989690721649485 - 310']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3'], ['Normal_T1_0,QuasiPiena_T1_2'], ['Normal_T2_0']]], ['0.7987616099071208 - 258']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,QuasiPiena_T1_2,Normal_T1_1'], ['Normal_T2_1']]], ['0.7984886649874056 - 317']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['Normal_T1_2,Normal_T1_3'], ['Normal_T2_2']]], ['0.7981651376146789 - 348']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_1'], ['QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.7981220657276995 - 340']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['Normal_T1_3'], ['Normal_T2_3']]], ['0.7974947807933194 - 764']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,Normal_T1_3,Normal_T1_1'], ['Normal_T2_1']]], ['0.7973568281938326 - 181']]
