Filtered Pattern, Confidence-Frequence
Total number of input patterns: 6322
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,QuasiPiena_T1_1'], ['QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7293729372937293 - 3536']]
[[[['QuasiPiena_T0_0,Normal_T0_3'], ['Normal_T1_0'], ['QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7292671166827387 - 3025']]
[[[['Normal_T0_0,Normal_T0_3'], ['Normal_T1_0'], ['QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7290969899665551 - 2834']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_3'], ['Normal_T1_0']]], ['0.728958051420839 - 10774']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_0,QuasiPiena_T1_1,QuasiPiena_T1_3'], ['Normal_T2_0']]], ['0.7285634743875279 - 2617']]
[[[['Normal_T0_0'], ['Normal_T1_0,Normal_T1_1'], ['QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7278467232745482 - 3343']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_0,Normal_T1_3'], ['Normal_T2_0']]], ['0.7274509803921568 - 2597']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_3'], ['Normal_T1_0']]], ['0.7274501603234351 - 10436']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7269644994016753 - 3645']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,Normal_T1_1'], ['QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7268659751881228 - 3574']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3'], ['QuasiPiena_T1_0,QuasiPiena_T1_1'], ['Normal_T2_0']]], ['0.725604670558799 - 2610']]
[[[['QuasiPiena_T0_0,Normal_T0_1,Normal_T0_3,QuasiPiena_T0_3'], ['Normal_T1_0']]], ['0.7254341164453524 - 3551']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0'], ['QuasiPiena_T2_2,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7252245619201885 - 4925']]
[[[['QuasiPiena_T0_0,Normal_T0_1'], ['Normal_T2_0,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7246261216350948 - 3634']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_2,Normal_T0_1'], ['Normal_T1_0']]], ['0.7245862884160756 - 7356']]
[[[['QuasiPiena_T0_0,Normal_T0_3'], ['QuasiPiena_T1_0,QuasiPiena_T1_1'], ['Normal_T2_0']]], ['0.7245492371705964 - 2612']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_2,Normal_T0_1'], ['Normal_T1_0']]], ['0.7244063061265217 - 7260']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_0,QuasiPiena_T1_3'], ['Normal_T2_0']]], ['0.7243937232524964 - 2539']]
[[[['Normal_T0_0'], ['Normal_T1_0'], ['QuasiPiena_T2_2,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7241920301223721 - 4616']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0'], ['Normal_T2_0,QuasiPiena_T2_0'], ['QuasiPiena_T3_0']]], ['0.7237278927989377 - 11990']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['QuasiPiena_T1_0'], ['QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7236548223350254 - 14256']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_3'], ['QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.7234344006800794 - 2553']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,Normal_T0_3,QuasiPiena_T0_3'], ['Normal_T1_0']]], ['0.7231568016614746 - 3482']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,Normal_T0_3'], ['QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.7230726412468689 - 2598']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_1,QuasiPiena_T0_1'], ['Normal_T1_0']]], ['0.7229058561897702 - 9752']]
[[[['Normal_T0_0'], ['Normal_T1_0'], ['Normal_T2_2,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7225595516113965 - 4641']]
[[[['Normal_T0_0'], ['Normal_T1_0'], ['Normal_T2_0,QuasiPiena_T2_0'], ['QuasiPiena_T3_0']]], ['0.7224892486718948 - 11424']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0'], ['Normal_T2_2,QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.721455826240094 - 4916']]
[[[['QuasiPiena_T0_0,Normal_T0_1,QuasiPiena_T0_1,Normal_T0_3'], ['Normal_T1_0']]], ['0.7204385277995301 - 3680']]
[[[['QuasiPiena_T0_0,Normal_T0_1,QuasiPiena_T0_1,QuasiPiena_T0_3'], ['Normal_T1_0']]], ['0.7202 - 3601']]
[[[['QuasiPiena_T0_0,Normal_T0_2,Normal_T0_1,QuasiPiena_T0_3'], ['Normal_T1_0']]], ['0.720137420718816 - 2725']]
[[[['Normal_T0_0,QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_1'], ['Normal_T1_0']]], ['0.7189910360642068 - 6898']]
[[[['QuasiPiena_T0_0,Normal_T0_1'], ['QuasiPiena_T1_0,QuasiPiena_T1_3'], ['Normal_T2_0']]], ['0.7184300341296929 - 2526']]
[[[['QuasiPiena_T0_0,Normal_T0_1,Normal_T0_3'], ['QuasiPiena_T1_0'], ['Normal_T2_0']]], ['0.7179344808439756 - 2586']]
[[[['Normal_T0_0,QuasiPiena_T0_0'], ['QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7175441759826903 - 15918']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_1'], ['Normal_T1_0']]], ['0.7175271292338047 - 13092']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,Normal_T0_1,QuasiPiena_T0_3'], ['Normal_T1_0']]], ['0.717452229299363 - 2816']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_0'], ['QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7171166940596384 - 15271']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_0'], ['QuasiPiena_T2_0,QuasiPiena_T2_1'], ['Normal_T3_0']]], ['0.7170364169108413 - 3426']]
[[[['Normal_T0_0,QuasiPiena_T0_0,Normal_T0_2,QuasiPiena_T0_1'], ['Normal_T1_0']]], ['0.7167924913283004 - 7026']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,Normal_T0_1,Normal_T0_3'], ['Normal_T1_0']]], ['0.7167131625665737 - 2826']]
[[[['Normal_T0_0'], ['QuasiPiena_T1_0,Normal_T1_2,Normal_T1_3'], ['Normal_T2_0']]], ['0.7166147206904819 - 2989']]
[[[['QuasiPiena_T0_0'], ['Normal_T1_0,Normal_T1_2'], ['QuasiPiena_T2_0'], ['Normal_T3_0']]], ['0.7165480168531164 - 4932']]
[[[['QuasiPiena_T0_0,Normal_T0_2,Normal_T0_1,Normal_T0_3'], ['Normal_T1_0']]], ['0.7164101226193582 - 2746']]
[[[['QuasiPiena_T0_0,Normal_T0_1,Normal_T0_3'], ['Normal_T1_0']]], ['0.7159241288045876 - 4869']]
[[[['QuasiPiena_T0_0,Normal_T0_1,QuasiPiena_T0_3'], ['Normal_T1_0']]], ['0.7155068986202759 - 4771']]
