Filtered Pattern, Confidence-Frequence
Total number of input patterns: 3491
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_0']]], ['0.6842105263157895 - 39']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_1,QuasiPiena_T1_3,Piena_T1_2'], ['QuasiPiena_T2_0']]], ['0.6842105263157895 - 39']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_0,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.6840277777777778 - 197']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3'], ['QuasiPiena_T1_0,QuasiPiena_T1_3'], ['QuasiPiena_T2_0']]], ['0.6836272040302267 - 1357']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T1_0,Piena_T1_1'], ['QuasiPiena_T2_0']]], ['0.6832797427652733 - 425']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,Piena_T0_1,Piena_T0_1'], ['QuasiPiena_T1_0']]], ['0.6826923076923077 - 71']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_2,Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_0']]], ['0.6822429906542056 - 73']]
[[[['QuasiPiena_T0_0,Piena_T0_0'], ['Piena_T1_1,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.6818181818181818 - 30']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_1,Piena_T0_2'], ['QuasiPiena_T1_0']]], ['0.6809815950920245 - 222']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_0,QuasiPiena_T1_1,Piena_T1_2'], ['QuasiPiena_T2_0']]], ['0.680577849117175 - 424']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_1'], ['QuasiPiena_T1_0']]], ['0.680385288966725 - 777']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_1,QuasiPiena_T0_3'], ['QuasiPiena_T1_0']]], ['0.6803118908382066 - 349']]
[[[['QuasiPiena_T0_0,Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_0'], ['QuasiPiena_T2_0']]], ['0.6802325581395349 - 234']]
[[[['Piena_T0_0,Piena_T0_2,Piena_T0_1'], ['Piena_T1_0'], ['QuasiPiena_T2_0']]], ['0.68 - 34']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T2_0']]], ['0.68 - 34']]
[[[['QuasiPiena_T0_1,QuasiPiena_T0_1,Piena_T0_0,Piena_T0_3'], ['Piena_T1_0']]], ['0.68 - 34']]
[[[['Piena_T0_0'], ['Piena_T1_1,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.68 - 34']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_1'], ['QuasiPiena_T1_0'], ['QuasiPiena_T2_0']]], ['0.6797603195739015 - 1021']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,QuasiPiena_T0_1'], ['QuasiPiena_T1_0']]], ['0.6790235081374322 - 1502']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_0,QuasiPiena_T1_1,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.6790123456790124 - 55']]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_0,Piena_T1_2'], ['QuasiPiena_T2_0']]], ['0.6788617886178862 - 167']]
[[[['Piena_T0_0,QuasiPiena_T0_3'], ['QuasiPiena_T1_0,Piena_T1_2'], ['QuasiPiena_T2_0']]], ['0.6788321167883211 - 93']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3'], ['Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.6785714285714286 - 38']]
[[[['Piena_T0_0,Piena_T0_1'], ['Piena_T1_0,Piena_T1_3'], ['QuasiPiena_T2_0']]], ['0.6785714285714286 - 19']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T2_0']]], ['0.6785714285714286 - 19']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1,Piena_T0_3'], ['QuasiPiena_T1_0']]], ['0.6784922394678492 - 306']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T1_0']]], ['0.6782845885740264 - 4476']]
